episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited
471,400,44,44,-5.91,0.7763,0,1,32
472,400,44,44,-4.26,0.7758,0,1,32
473,400,47,47,6.84,0.7753,0,1,32
474,400,43,45,2.29,0.7749,0,1,32
475,400,42,42,-8.11,0.7744,0,1,32
476,400,32,32,-16.36,0.7739,0,1,32
477,400,27,27,-26.56,0.7734,0,1,32
478,400,29,29,-19.91,0.773,0,1,32
479,400,38,38,-6.46,0.7725,0,1,32
480,400,35,35,-14.11,0.772,0,1,32
481,400,44,44,-1.61,0.7715,0,1,32
482,400,30,30,-23.46,0.7711,0,1,32
483,400,45,45,-0.16,0.7706,0,1,32
484,400,42,42,-9.11,0.7701,0,1,32
485,400,40,40,-5.86,0.7696,0,1,32
486,400,36,36,-18.61,0.7692,0,1,32
487,400,34,34,-12.41,0.7687,0,1,32
488,400,31,31,-22.86,0.7682,0,1,32
489,400,40,40,-2.46,0.7677,0,1,32
490,400,39,39,-12.46,0.7672,0,1,32
491,400,39,39,-10.41,0.7668,0,1,32
492,400,47,47,-2.21,0.7663,0,1,32
493,400,40,40,-7.21,0.7658,0,1,32
494,400,39,39,-12.46,0.7653,0,1,32
495,400,39,39,-11.26,0.7649,0,1,32
496,400,42,42,-7.36,0.7644,0,1,32
497,400,41,41,-8.71,0.7639,0,1,32
498,400,31,31,-16.26,0.7634,0,1,32
499,400,43,43,-1.51,0.763,0,1,32
500,400,42,42,-13.96,0.7625,0,1,32
501,400,41,41,-13.71,0.762,0,1,32
502,400,45,45,-1.51,0.7615,0,1,32
503,400,48,48,2.89,0.7611,0,1,32
504,400,34,34,-6.66,0.7606,0,1,32
505,400,31,31,-28.41,0.7601,0,1,32
506,400,43,43,-1.21,0.7597,0,1,32
507,400,43,45,-10.86,0.7592,0,1,32
508,400,40,40,-5.71,0.7587,0,1,32
509,400,44,44,-0.16,0.7582,0,1,32
510,400,46,46,-3.61,0.7578,0,1,32
511,400,46,46,-3.26,0.7573,0,1,32
512,400,43,43,-11.41,0.7568,0,1,32
513,400,44,44,-7.01,0.7563,0,1,32
514,400,40,40,-11.56,0.7559,0,1,32
515,400,40,40,-6.66,0.7554,0,1,32
516,400,48,48,-0.76,0.7549,0,1,32
517,400,43,43,0.49,0.7544,0,1,32
518,400,26,26,-29.01,0.754,0,1,32
519,400,43,43,2.99,0.7535,0,1,32
520,400,42,42,-14.06,0.753,0,1,32
521,400,39,39,-12.11,0.7525,0,1,32
522,400,40,40,-12.36,0.752,0,1,32
523,400,39,39,-14.91,0.7516,0,1,32
524,400,45,45,-7.66,0.7511,0,1,32
525,400,46,46,-4.31,0.7506,0,1,32
526,400,48,48,7.69,0.7501,0,1,32
527,400,37,37,-9.66,0.7497,0,1,32
