episode,coins_collected,total_reward,epsilon
766,2,-4.0,0.95451875
767,1,-2.0,0.954459375
768,0,-3.0,0.9544
769,1,-2.0,0.9543406249999999
770,0,-4.0,0.95428125
771,3,-9.0,0.954221875
772,0,-4.0,0.9541625
773,1,-3.0,0.954103125
774,3,-8.0,0.95404375
775,0,-2.0,0.953984375
776,1,-1.0,0.953925
777,4,2.0,0.953865625
778,3,-8.0,0.95380625
779,1,-3.0,0.953746875
780,2,-2.0,0.9536875
781,1,-3.0,0.953628125
782,5,-14.0,0.95356875
783,1,-1.0,0.953509375
784,2,-2.0,0.95345
785,5,-1.0,0.953390625
786,2,-2.0,0.95333125
787,1,-1.0,0.953271875
788,1,-2.0,0.9532125
789,1,-1.0,0.953153125
790,2,-3.0,0.95309375
791,0,-3.0,0.953034375
792,0,-5.0,0.952975
793,1,-2.0,0.952915625
794,1,-4.0,0.95285625
795,2,0.0,0.952796875
796,0,-2.0,0.9527375
797,1,-3.0,0.952678125
798,0,-5.0,0.95261875
799,0,-4.0,0.952559375
800,3,0.0,0.9525
801,0,-2.0,0.952440625
802,1,1.0,0.95238125
803,1,0.0,0.952321875
804,0,-11.0,0.9522625
805,1,-2.0,0.952203125
806,5,1.0,0.95214375
807,0,-6.0,0.952084375
808,0,-3.0,0.952025
809,1,-3.0,0.951965625
810,0,-9.0,0.95190625
811,1,-4.0,0.951846875
812,0,-5.0,0.9517875
813,2,2.0,0.951728125
814,0,-6.0,0.9516687500000001
815,1,-7.0,0.951609375
816,1,-2.0,0.95155
817,1,-3.0,0.951490625
818,0,-5.0,0.95143125
819,2,0.0,0.951371875
820,0,-3.0,0.9513125
821,0,-4.0,0.951253125
822,1,-2.0,0.9511937500000001
823,0,-2.0,0.951134375
824,0,-6.0,0.951075
825,0,-4.0,0.951015625
826,0,-3.0,0.95095625
827,0,-4.0,0.950896875
828,0,-4.0,0.9508375
829,2,-1.0,0.950778125
830,0,-1.0,0.9507187500000001
831,2,-1.0,0.950659375
832,1,-2.0,0.9506
833,0,-3.0,0.950540625
834,1,-2.0,0.95048125
835,1,-2.0,0.950421875
836,0,-2.0,0.9503625
837,0,-3.0,0.950303125
838,0,-1.0,0.95024375
839,2,-3.0,0.950184375
840,2,-6.0,0.950125
841,0,-5.0,0.950065625
842,0,-3.0,0.95000625
843,2,-1.0,0.949946875
844,1,-3.0,0.9498875
845,2,-4.0,0.949828125
846,0,-1.0,0.94976875
847,1,0.0,0.949709375
848,0,-3.0,0.94965
849,0,-3.0,0.949590625
