episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
184,400,28,28,-31.5,0.9126,0,1,32,1.60443,2.00032,1.54885,2.41379,1.96645,0.0
185,400,22,22,-45.4,0.9121,0,1,32,1.59485,1.97842,1.58298,2.22718,1.98827,0.0
186,400,23,23,-38.8,0.9116,0,1,32,1.59716,2.06277,1.5896,2.30661,2.02106,0.0
187,400,23,23,-37.2,0.9112,0,1,32,1.51933,2.04774,1.51978,2.13698,1.93941,0.0
188,400,23,23,-29.85,0.9107,0,1,32,1.46454,2.04044,1.46807,2.20973,1.93046,0.0
189,400,22,22,-38.2,0.9102,0,1,32,1.44286,1.97973,1.45487,2.10507,1.91438,0.0
190,400,28,28,-32.05,0.9098,0,1,32,1.43052,2.00091,1.45771,2.27164,1.91424,0.0
191,400,19,19,-35.05,0.9093,0,1,32,1.41929,1.98301,1.43733,2.16352,1.91386,0.0
192,400,21,21,-45.35,0.9088,0,1,32,1.44133,1.98206,1.43859,2.08418,1.90671,0.0
193,400,32,32,-26.9,0.9083,0,1,32,1.43612,2.0171,1.42975,2.14123,1.89676,0.0
194,400,27,27,-29.55,0.9079,0,1,32,1.42586,2.01089,1.4206,2.14911,1.87646,0.0
195,400,18,18,-41.5,0.9074,0,1,32,1.46602,2.05138,1.44643,2.0218,1.89235,0.0
196,400,26,26,-35.0,0.9069,0,1,32,1.44035,2.10893,1.41316,2.14898,1.85107,0.0
197,400,25,25,-34.75,0.9064,0,1,32,1.47651,2.10398,1.44495,2.09833,1.89313,0.0
198,400,20,20,-39.8,0.906,0,1,32,1.40853,1.98191,1.41082,2.17372,1.85445,0.0
199,400,23,23,-42.0,0.9055,0,1,32,1.46529,2.06854,1.44816,2.20256,1.90857,0.0
200,400,42,42,-12.55,0.905,0,1,32,1.48738,2.13555,1.52357,2.55749,1.953,0.0
201,400,13,13,-51.4,0.9045,0,1,32,1.53381,1.99849,1.4537,2.06992,1.94113,0.0
202,400,23,23,-29.55,0.9041,0,1,32,1.42501,1.86569,1.41195,2.11502,1.83686,0.0
203,400,34,34,-35.25,0.9036,0,1,32,1.42501,1.90022,1.4149,2.23281,1.84855,0.0
204,400,23,23,-33.3,0.9031,0,1,32,1.48467,1.95708,1.47557,2.29459,1.92833,0.0
205,400,24,24,-28.35,0.9026,0,1,32,1.50191,1.94142,1.49663,2.27301,1.94324,0.0
206,400,31,31,-21.8,0.9022,0,1,32,1.55082,1.97565,1.55248,2.26379,2.00897,0.0
207,400,31,31,-30.1,0.9017,0,1,32,1.54505,2.00981,1.53631,2.28589,1.99395,0.0
208,400,29,29,-33.4,0.9012,0,1,32,1.62066,2.13611,1.61284,2.52657,2.08272,0.0
209,400,21,21,-39.75,0.9007,0,1,32,1.71899,2.00346,1.74623,2.53987,2.17939,0.0
210,400,26,26,-30.45,0.9002,0,1,32,1.71048,2.10362,1.73074,2.41599,2.16482,0.0
211,400,23,23,-34.7,0.8998,0,1,32,1.72436,2.09457,1.72673,2.57218,2.1759,0.0
212,400,24,24,-39.2,0.8993,0,1,32,1.71244,2.09457,1.71079,2.23885,2.14938,0.0
213,400,23,23,-34.8,0.8988,0,1,32,1.59812,1.93462,1.63954,2.27081,2.08165,0.0
214,400,24,24,-38.5,0.8983,0,1,32,1.52326,2.01116,1.56914,2.1829,1.97339,0.0
215,400,27,27,-36.15,0.8979,0,1,32,1.45449,1.968,1.47436,2.25708,1.89999,0.0
216,400,33,33,-22.6,0.8974,0,1,32,1.47542,2.0306,1.47906,2.28029,1.91355,0.0
217,400,28,28,-34.4,0.8969,0,1,32,1.51083,2.06396,1.54664,2.34535,1.77317,0.0
218,400,23,24,-29.05,0.8964,0,1,32,1.59992,2.11876,1.59521,2.3128,2.00729,0.0
219,400,25,25,-34.7,0.896,0,1,32,1.53599,2.14677,1.53764,2.37964,1.97609,0.0
220,400,26,26,-34.15,0.8955,0,1,32,1.59945,2.18205,1.57771,2.25893,1.99119,0.0
221,400,28,28,-27.05,0.895,0,1,32,1.56335,2.11806,1.58925,2.24509,2.00129,0.0
222,400,20,20,-36.95,0.8945,0,1,32,1.56335,2.13173,1.36248,2.0832,1.96507,0.0
223,400,27,27,-27.5,0.8941,0,1,32,1.50819,2.10631,1.46497,2.26443,1.96157,0.0
224,400,26,26,-28.5,0.8936,0,1,32,1.47842,2.1208,1.47863,2.27841,1.93103,0.0
225,400,22,22,-36.65,0.8931,0,1,32,1.60317,2.15236,1.5629,2.39339,2.00114,0.0
226,400,29,29,-23.75,0.8926,0,1,32,1.58994,2.10826,1.58309,2.21356,2.01378,0.0
227,400,23,23,-33.85,0.8922,0,1,32,1.53919,1.9827,1.52166,2.08094,1.96026,0.0
228,400,28,28,-43.95,0.8917,0,1,32,1.44428,1.94519,1.44723,2.14502,1.90587,0.0
229,400,19,19,-43.45,0.8912,0,1,32,1.51722,2.06662,1.50699,2.22653,1.93627,0.0
230,400,39,39,-16.45,0.8908,0,1,32,1.60596,2.09253,1.34249,2.48961,2.04453,0.0
