episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
215,400,27,27,-38.35,0.8979,0,1,32,1.46595,2.02601,1.46354,2.17955,1.91564,0.0
216,400,33,33,-25.0,0.8974,0,1,32,1.46373,2.06163,1.46368,2.22885,1.91689,0.0
217,400,29,29,-31.5,0.8969,0,1,32,1.47322,2.06675,1.47475,2.24987,1.92035,0.0
218,400,21,21,-42.45,0.8964,0,1,32,1.4753,2.06115,1.47921,2.20318,1.92472,0.0
219,400,20,21,-39.35,0.896,0,1,32,1.4753,2.06115,1.47921,2.20318,1.92472,0.0
220,400,28,28,-32.85,0.8955,0,1,32,1.47125,2.06735,1.4763,2.13189,1.92298,0.0
221,400,20,20,-40.3,0.895,0,1,32,1.45473,2.03623,1.391,2.12485,1.89788,0.0
222,400,27,27,-36.75,0.8945,0,1,32,1.44247,2.04864,1.39325,2.15453,1.88832,0.0
223,400,32,32,-12.4,0.8941,0,1,32,1.44481,2.04684,1.40526,2.19011,1.88962,0.0
224,400,32,32,-30.75,0.8936,0,1,32,1.44457,2.04973,1.41994,2.16437,1.89001,0.0
225,400,31,31,-23.25,0.8931,0,1,32,1.44119,2.05184,1.42543,2.14025,1.88839,0.0
226,400,24,24,-25.6,0.8926,0,1,32,1.42967,2.04295,1.42122,2.14632,1.88623,0.0
227,400,25,25,-28.45,0.8922,0,1,32,1.43843,2.05172,1.4322,2.18886,1.89061,0.0
228,400,27,27,-24.95,0.8917,0,1,32,1.43945,2.0457,1.43715,2.21333,1.89408,0.0
229,400,31,31,-30.0,0.8912,0,1,32,1.38998,2.04686,1.4383,2.22106,1.90176,0.0
230,400,30,30,-23.05,0.8908,0,1,32,1.42729,2.04479,1.45752,2.26504,1.92724,0.0
231,400,24,24,-38.25,0.8903,0,1,32,1.46524,2.04813,1.48295,2.25516,1.94517,0.0
232,400,19,19,-46.7,0.8898,0,1,32,1.48236,2.05397,1.49119,2.23384,1.94857,0.0
233,400,31,31,-25.55,0.8893,0,1,32,1.48748,2.04269,1.49604,2.27483,1.95045,0.0
234,400,22,22,-39.3,0.8889,0,1,32,1.50679,2.03608,1.5115,2.24457,1.96218,0.0
235,400,29,29,-35.5,0.8884,0,1,32,1.50615,2.05307,1.50784,2.22403,1.96047,0.0
236,400,22,22,-41.4,0.8879,0,1,32,1.48592,2.0367,1.48985,2.18295,1.94416,0.0
237,400,27,27,-31.95,0.8874,0,1,32,1.4808,2.05045,1.48228,2.16666,1.92885,0.0
238,400,34,34,-25.25,0.887,0,1,32,1.48067,2.05045,1.48199,2.22409,1.92806,0.0
239,400,23,23,-38.0,0.8865,0,1,32,1.47681,2.05002,1.47454,2.19464,1.92495,0.0
240,400,29,29,-38.0,0.886,0,1,32,1.47288,2.05028,1.46734,2.18595,1.91938,0.0
241,400,30,30,-30.3,0.8855,0,1,32,1.4863,2.05356,1.4834,2.26094,1.93164,0.0
242,400,24,24,-36.0,0.8851,0,1,32,1.49517,2.06276,1.50186,2.2298,1.8822,0.0
243,400,13,13,-58.1,0.8846,0,1,32,1.49517,2.06276,1.50186,2.22703,1.8822,0.0
244,400,30,30,-26.45,0.8841,0,1,32,1.48462,2.04563,1.49053,2.16464,1.891,0.0
245,400,31,31,-24.65,0.8836,0,1,32,1.41382,2.05916,1.47384,2.17968,1.89066,0.0
246,400,30,30,-31.15,0.8831,0,1,32,1.41886,2.06802,1.45767,2.14478,1.88801,0.0
247,400,37,37,-14.65,0.8827,0,1,32,1.42068,2.06438,1.44981,2.18675,1.88519,0.0
248,400,35,35,-18.8,0.8822,0,1,32,1.43682,2.07073,1.45884,2.28358,1.89839,0.0
249,400,24,24,-29.0,0.8817,0,1,32,1.4561,2.07687,1.47641,2.21056,1.91621,0.0
250,400,35,35,-12.9,0.8812,0,1,32,1.45985,2.07942,1.47238,2.15368,1.91657,0.0
251,400,26,26,-33.45,0.8808,0,1,32,1.45911,2.08253,1.46923,2.20999,1.91258,0.0
252,400,27,27,-32.85,0.8803,0,1,32,1.46818,2.09843,1.47598,2.25647,1.92159,0.0
253,400,31,31,-23.2,0.8798,0,1,32,1.42307,2.09524,1.47999,2.30661,1.93492,0.0
254,400,28,28,-19.05,0.8793,0,1,32,1.45723,2.08693,1.49951,2.27198,1.9453,0.0
255,400,25,25,-34.9,0.8789,0,1,32,1.46771,2.07983,1.50579,2.27777,1.94777,0.0
256,400,28,28,-22.65,0.8784,0,1,32,1.48075,2.09969,1.51665,2.29134,1.95589,0.0
257,400,35,35,-24.95,0.8779,0,1,32,1.51051,2.10147,1.53245,2.3461,1.96811,0.0
258,400,23,23,-39.8,0.8775,0,1,32,1.54179,2.09248,1.55897,2.33452,2.00215,0.0
259,400,31,31,-21.6,0.877,0,1,32,1.55446,2.10107,1.5718,2.33591,2.01537,0.0
